Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe
TOUCH,10,4000,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,52,0.0026,2000000,0,0,0,0,0,0.012,0,0,0.005,0.004,0.011,0,0.058,0,0,0.011,0.001,98.3871,500,8.06452,62.9859,2,2,500,0.006
cTOUCH,10,4000,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,7,0.00035,2867,0,0,0,3928,75,0.006,0,0.003,0.001,0.001,0.016,0,0.074,0,0,0.015,0.011,86.7647,188,7.30882,32.6363,137,137,500,0.012
dTOUCH,10,4000,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,37,0.00185,54930,0,0,0,3917,0,0.008,0,0.002,0.009,0.008,0.013,0,0.068,0,0,0.012,0.001,95.7143,66,1.32857,8.12531,4,4,500,0.01
reTOUCH,10,4000,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,52,0.0026,3750,0,0,0,3917,46,0.011,0,0.002,0.002,0.002,0.003,0,0.06,0,0,0.002,0.011,100,311,8.66129,39.8665,249,249,500,0.013
rereTOUCH,10,4000,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,37,0.00185,1440,0,0,0,3917,482,0.008,0,0.002,0.001,0.001,0.004,0,0.034,0,0,0.003,0.001,196.774,80,1.62903,10.0358,249,249,500,0.002
TOUCH,10,4000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,52,0.0013,4000000,0,0,0,0,0,0.015,0,0.001,0.005,0.003,0.011,0,0.066,0,0,0.01,0.002,98.3871,1000,16.129,125.972,2,2,500,0.007
cTOUCH,10,4000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,14,0.00035,143,0,0,0,3927,746,0.009,0,0.003,0,0,0.016,0,0.065,0,0,0.015,0.003,96.0526,273,4.30263,31.4772,153,153,500,0.003
dTOUCH,10,4000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,24,0.0006,104300,0,0,0,3917,0,0.007,0,0.001,0.006,0.006,0.014,0,0.064,0,0,0.012,0,96.2025,63,1.3038,7.65945,4,4,500,0.006
reTOUCH,10,4000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,52,0.0013,3942,0,0,0,3917,187,0.015,0,0.003,0.002,0.001,0.004,0,0.068,0,0,0.004,0.008,100,486,14.4516,63.0267,249,249,500,0.01
rereTOUCH,10,4000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,24,0.0006,1440,0,0,0,3917,982,0.008,0,0.004,0.001,0.001,0.003,0,0.034,0,0,0.002,0,196.774,80,1.62903,10.0358,249,249,500,0.001
TOUCH,10,4000,1500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,12111,0.20185,5714400,3479,544,0.00906667,22,0,0.006,0,0,0.034,0.03,0.015,0,0.112,0,0,0.014,0.004,96.7742,1326,23.8387,167.82,3,3,500,0.038
cTOUCH,10,4000,1500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,15072,0.2512,13900,7426,544,0.00906667,3755,401,0.007,0,0.004,0.033,0.033,0.019,0,0.141,0,0,0.018,0.007,87.0588,520,15.8118,65.1771,171,171,500,0.04
