Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,110566,0.442264,14913936,48564,4182,0.016728,4236,548,0.022,0,0.002,0.257,0.243,0.017,0,0.606,0.006,0,0.016,0.011,87.7551,2592,39.7959,268.017,13,13,51,0.268
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,113877,0.455508,10870520,53418,4182,0.016728,4111,548,0.016,0,0.003,0.277,0.264,0.02,0,0.642,0.004,0,0.02,0.011,89.1892,1744,27.5766,173.89,13,13,101,0.288
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,117272,0.469088,8176600,58328,4182,0.016728,4124,548,0.015,0,0.002,0.269,0.257,0.023,0,0.631,0.002,0,0.021,0.01,91.8699,1213,19.7154,120.494,11,11,151,0.279
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,118076,0.472304,6186692,60746,4182,0.016728,4134,548,0.019,0,0.003,0.277,0.266,0.024,0,0.657,0,0,0.023,0.009,88.3721,834,15.2403,83.0599,16,16,201,0.286
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,121237,0.484948,4850767,63521,4182,0.016728,4134,548,0.013,0,0.002,0.278,0.27,0.028,0,0.656,0.002,0,0.026,0.007,90.2985,565,12.2463,64.5963,14,14,251,0.285
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,121492,0.485968,5331890,64556,4182,0.016728,4024,548,0.016,0,0.002,0.279,0.27,0.026,0,0.658,0.004,0,0.024,0.007,90.4412,634,11.3456,66.5195,14,14,301,0.286
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,121517,0.486068,3308070,65006,4182,0.016728,4152,548,0.015,0,0.003,0.282,0.275,0.026,0,0.667,0.002,0,0.026,0.005,90.6475,266,9.05036,41.6559,14,14,351,0.287
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,123181,0.492724,4477310,66413,4182,0.016728,4062,548,0.016,0,0.002,0.281,0.271,0.026,0,0.665,0.006,0,0.024,0.007,91.4286,662,8.82143,60.2183,13,13,401,0.288
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,123689,0.494756,4055288,66914,4182,0.016728,4024,548,0.016,0,0.002,0.279,0.27,0.025,0,0.658,0.004,0,0.024,0.007,92.2535,634,8.42254,56.5137,12,12,451,0.286
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,124279,0.497116,2358219,67473,4182,0.016728,4258,548,0.016,0,0.002,0.285,0.277,0.026,0,0.672,0.006,0,0.024,0.005,91.5493,271,6.37324,31.1226,13,13,501,0.29
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,124158,0.496632,3153056,67692,4182,0.016728,4074,548,0.019,0,0.002,0.29,0.283,0.025,0,0.691,0.005,0.001,0.025,0.004,90.2098,569,7.37063,52.0408,15,15,551,0.294
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,124561,0.498244,3103364,68206,4182,0.016728,4093,548,0.017,0,0.002,0.283,0.275,0.027,0,0.674,0.004,0,0.025,0.004,92.3077,569,7.01399,51.1237,12,12,601,0.287
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,125053,0.500212,1927622,68658,4182,0.016728,4149,548,0.016,0,0.002,0.305,0.297,0.027,0,0.716,0.002,0,0.026,0.005,90.2098,308,6.44056,36.2593,15,15,651,0.31
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,126747,0.506988,1704013,70451,4182,0.016728,4260,548,0.016,0,0.002,0.295,0.287,0.027,0,0.692,0.006,0,0.026,0.005,92.3611,271,5.47917,31.513,12,12,701,0.3
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,126747,0.506988,1687256,70451,4182,0.016728,4226,548,0.016,0,0.003,0.285,0.278,0.027,0,0.675,0.004,0,0.025,0.005,91.6667,270,5.67361,31.9967,13,13,751,0.29
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,126838,0.507352,2018239,70548,4182,0.016728,4133,548,0.015,0,0.002,0.287,0.281,0.029,0,0.679,0.004,0,0.027,0.004,92.3611,367,6.25,39.7638,12,12,801,0.291
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,126798,0.507192,1998825,70548,4182,0.016728,4133,548,0.012,0,0.002,0.3,0.293,0.027,0,0.696,0.004,0,0.026,0.005,91.6667,367,6.20833,39.4864,13,13,851,0.305
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,126671,0.506684,1989549,70546,4182,0.016728,4110,548,0.016,0,0.002,0.297,0.291,0.026,0,0.698,0.004,0,0.025,0.003,91.6667,367,6.34028,40.407,13,13,901,0.3
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,126671,0.506684,2854056,70546,4182,0.016728,4077,548,0.016,0,0.003,0.292,0.286,0.027,0,0.69,0.004,0,0.026,0.004,91.6667,569,6.54861,50.5878,13,13,951,0.296
dTOUCH,15,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,126671,0.506684,2849639,70546,4182,0.016728,4077,548,0.015,0,0.003,0.3,0.292,0.027,0,0.704,0.007,0,0.026,0.004,91.6667,569,6.54167,50.5885,13,13,1001,0.304
