Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,33200,13.28,33200,0,0,0,396,0,0.004,0,0,0.083,0.083,0.003,0.083,0.212,0,0,0.002,0,75,57,13,22.655,1,1
cTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,0,0,0,0,0,0,452,497,0.003,0,0.001,0,0,0.004,0,0.021,0,0,0.004,0,82.3529,48,3,11.2616,1,1
dTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,6200,2.48,6200,0,0,0,500,396,0.001,0,0,0.018,0.018,0.003,0.018,0.047,0,0,0.003,0,77.7778,47,5.55556,14.6827,1,1
reTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,1440,0.576,1440,0,0,0,452,433,0.002,0,0,0.006,0.005,0.001,0.005,0.022,0,0,0.001,0,100,32,14.375,6.08148,1,1
rereTOUCH,5,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,0,0,0,0,0,0,452,500,0.003,0,0.001,0.011,0,0,0,0.033,0,0,0,0,187.5,48,6,15.8745,1,1
TOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,761500,76.15,761500,0,0,0,153,0,0.003,0,0.001,1.685,1.685,0.003,1.685,3.386,0,0,0.003,0,88.2353,846,49.8235,199.044,1,1
cTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,716,0.0716,740,0,0,0,952,346,0.003,0,0.003,0.002,0.002,0.009,0.002,0.036,0,0,0.009,0,87.0968,622,22.6452,109.822,1,1
dTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,146375,14.6375,146375,0,0,0,934,153,0.004,0,0.001,0.347,0.347,0.006,0.347,0.722,0,0,0.006,0,82.1429,151,7.78571,29.5168,1,1
reTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,160,0.016,160,0,0,0,992,902,0.002,0,0.001,0.001,0,0.001,0,0.012,0,0,0,0,100,32,6.23529,10.4292,1,1
rereTOUCH,5,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,0,0,0,0,0,0,992,1000,0.006,0,0,0,0,0.001,0,0.016,0,0,0,0,194.118,8,0.470588,1.88235,1,1
TOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,1591900,70.7511,1591900,0,58,0.00257778,321,0,0.004,0,0.001,3.534,3.534,0.003,3.534,7.085,0,0,0.003,0,73.913,960,51.2609,196.38,1,1
cTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,12086,0.537156,16116,0,58,0.00257778,1275,1289,0.009,0,0.002,0.026,0.026,0.01,0.026,0.097,0,0,0.009,0,76.5957,230,9.2766,36.3111,1,1
dTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,244300,10.8578,244300,0,58,0.00257778,1321,321,0.004,0,0.001,0.538,0.538,0.008,0.538,1.104,0,0,0.007,0,82.9268,179,7.39024,28.5502,1,1
reTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,15720,0.698667,15720,0,58,0.00257778,1347,1156,0.004,0,0.002,0.037,0.036,0,0.036,0.087,0,0,0,0,95.6522,109,21.6087,22.4591,1,1
rereTOUCH,5,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,17743,0.788578,17743,0,58,0.00257778,1347,1339,0.003,0,0.001,0.044,0.044,0.001,0.044,0.106,0,0,0.001,0,186.957,77,13.6522,17.7767,1,1
TOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,2901800,72.545,2901800,0,158,0.00395,170,0,0.007,0,0.001,6.344,6.344,0.007,6.344,12.718,0,0,0.006,0,87.0968,1156,59.0323,231.065,1,1
cTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,121438,3.03595,142063,0,158,0.00395,1567,698,0.007,0,0.003,0.27,0.269,0.016,0.269,0.595,0,0,0.014,0,74.1935,847,27.9839,126.757,1,1
dTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,767590,19.1898,767590,0,158,0.00395,1467,170,0.009,0,0.001,1.691,1.691,0.009,1.691,3.429,0,0,0.009,0,82.4561,286,12.4912,47.3061,1,1
reTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,98493,2.46232,98493,0,158,0.00395,1554,678,0.004,0,0.002,0.216,0.216,0.002,0.216,0.45,0,0,0.001,0,96.7742,687,57.0323,118.262,1,1
rereTOUCH,5,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,53801,1.34502,53801,0,158,0.00395,1554,1581,0.005,0,0.003,0.12,0.12,0.001,0.12,0.261,0,0,0.001,0,174.194,97,27.9032,22.4382,1,1
TOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,4737300,75.7968,4737300,0,262,0.004192,139,0,0.006,0,0.001,10.44,10.44,0.01,10.44,20.916,0,0,0.009,0,86.8421,1644,62.1316,282.754,1,1
cTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,149031,2.3845,175694,0,262,0.004192,2046,707,0.006,0,0.004,0.328,0.328,0.019,0.328,0.718,0,0.001,0.018,0,80.2632,1175,29.5658,142.847,1,1
dTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,869680,13.9149,869680,0,262,0.004192,1993,139,0.006,0,0.001,1.952,1.952,0.015,1.952,3.959,0,0,0.015,0,81.9444,207,10.1111,34.8463,1,1
reTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,147645,2.36232,147645,0,262,0.004192,2087,469,0.009,0,0.004,0.329,0.328,0.002,0.328,0.69,0,0,0.002,0,100,1055,64.3158,170.37,1,1
rereTOUCH,5,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,69215,1.10744,70296,0,262,0.004192,2087,1953,0.009,0,0.005,0.156,0.154,0.002,0.154,0.348,0,0,0.002,0,168.421,110,25.2632,19.2889,1,1
TOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,7711200,85.68,7711200,0,276,0.00306667,84,0,0.008,0,0.001,17.432,17.432,0.011,17.432,34.905,0,0,0.01,0,91.4894,2846,62.0426,410.512,1,1
cTOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,132350,1.47056,135658,0,276,0.00306667,2509,730,0.007,0,0.006,0.299,0.298,0.022,0.298,0.668,0,0,0.021,0,76.9231,1339,30.3407,153.743,1,1
dTOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,1362180,15.1353,1362180,0,276,0.00306667,2528,84,0.007,0,0.001,2.96,2.96,0.018,2.96,5.984,0,0,0.017,0,85.0575,223,8.5977,39.197,1,1
reTOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,134430,1.49367,134430,0,276,0.00306667,2578,425,0.009,0,0.003,0.295,0.293,0.003,0.293,0.626,0,0.001,0.002,0,100,1473,63.766,211.641,1,1
rereTOUCH,5,3000,3000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,105325,1.17028,106255,0,276,0.00306667,2578,2301,0.007,0,0.006,0.242,0.242,0.002,0.241,0.514,0,0,0.002,0,178.723,158,23.8511,24.0686,1,1
TOUCH,5,3500,3500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,5434000,44.3592,5434000,0,302,0.00246531,332,0,0.016,0,0.002,11.898,11.898,0.009,11.898,23.852,0,0,0.009,0,85.1852,1561,58.6667,245.126,1,1
cTOUCH,5,3500,3500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,116502,0.951037,123717,0,302,0.00246531,3078,732,0.014,0,0.006,0.259,0.258,0.021,0.258,0.602,0,0,0.019,0,80.1887,1109,30.0943,146.26,1,1
