Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe
TOUCH,10,500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,136271,6.81355,451700,111437,1610,0.0805,2780,0,0.012,0,0.002,0.296,0.266,0.002,0,0.629,0.004,0,0.002,0.028,12.5,799,152.5,251.401,8,8,500,0.324
cTOUCH,10,500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,62779,3.13895,54302,44968,1610,0.0805,42,3044,0.006,0,0.003,0.133,0.13,0.019,0,0.36,0.004,0,0.017,0.016,70.5882,358,20.7941,62.5348,137,137,500,0.149
dTOUCH,10,500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,57102,2.8551,298276,38688,1610,0.0805,112,2780,0.013,0,0,0.141,0.128,0.003,0,0.322,0,0,0.003,0.012,15,260,43.6,67.3442,18,18,500,0.153
reTOUCH,10,500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,135994,6.7997,201562,111437,1610,0.0805,57,2825,0.009,0,0.003,0.286,0.284,0,0,0.638,0.004,0,0,0.016,100,335,202.25,-nan,33,33,500,0.302
rereTOUCH,10,500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,67612,3.3806,201940,48298,1610,0.0805,57,2908,0.009,0,0.004,0.145,0.144,0,0,0.357,0.002,0,0,0.017,87.5,250,191.875,-nan,33,33,500,0.162
TOUCH,10,1000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,37158,0.92895,3143400,19667,1610,0.04025,398,0,0.014,0,0.002,0.093,0.079,0.002,0,0.224,0.002,0,0.002,0.013,70.5882,3470,211.882,814.673,6,6,500,0.106
cTOUCH,10,1000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,35231,0.880775,54726,19247,1610,0.04025,505,1931,0.007,0,0.005,0.077,0.076,0.019,0,0.238,0.002,0,0.018,0.009,73.6842,1353,33.7368,157.854,153,153,500,0.086
dTOUCH,10,1000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,34926,0.87315,1408100,17946,1610,0.04025,425,398,0.007,0,0.001,0.087,0.081,0.011,0,0.226,0.002,0,0.011,0.005,82.2581,684,22.4355,92.8632,12,12,500,0.092
reTOUCH,10,1000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,36466,0.91165,420532,19667,1610,0.04025,394,1748,0.006,0,0.003,0.082,0.08,0.001,0,0.212,0.002,0,0.001,0.013,100,820,168.118,184.352,69,69,500,0.095
rereTOUCH,10,1000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,36274,0.90685,438725,19627,1610,0.04025,394,2228,0.006,0,0.005,0.078,0.078,0.001,0,0.203,0,0,0,0.011,147.059,249,139.882,-nan,69,69,500,0.089
TOUCH,10,1500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,34557,0.57595,4867400,17151,1610,0.0268333,412,0,0.013,0,0.002,0.092,0.08,0.003,0,0.222,0.002,0,0.003,0.011,69.5652,2951,156,603.268,8,8,500,0.103
cTOUCH,10,1500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,34783,0.579717,242310,17595,1610,0.0268333,641,795,0.008,0,0.005,0.08,0.077,0.02,0,0.258,0.002,0.001,0.018,0.014,76.4706,2522,47.8118,275.354,171,171,500,0.094
dTOUCH,10,1500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,35161,0.586017,1999610,17946,1610,0.0268333,690,412,0.011,0,0.001,0.09,0.084,0.014,0,0.245,0.004,0,0.012,0.004,77.027,479,15.8919,59.6357,18,18,500,0.094
reTOUCH,10,1500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,34147,0.569117,209982,17151,1610,0.0268333,1003,2005,0.01,0,0.004,0.079,0.077,0.001,0,0.213,0,0,0,0.011,95.6522,784,108.348,163.084,93,93,500,0.09
rereTOUCH,10,1500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,35043,0.58405,242083,18210,1610,0.0268333,1003,2316,0.007,0,0.004,0.076,0.075,0.001,0,0.2,0.002,0,0,0.009,156.522,260,94.8261,-nan,93,93,500,0.085
TOUCH,10,2000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,34180,0.42725,6834400,15681,1610,0.020125,143,0,0.011,0,0.002,0.085,0.075,0.005,0,0.209,0,0,0.005,0.01,87.0968,3069,124.419,554.602,5,5,500,0.095
cTOUCH,10,2000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,33802,0.422525,149443,16212,1610,0.020125,1453,1870,0.012,0,0.005,0.073,0.071,0.018,0,0.238,0.002,0,0.017,0.009,80.2198,1131,29.4176,138.058,183,183,500,0.082
dTOUCH,10,2000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,35194,0.439925,3168210,17942,1610,0.020125,1033,143,0.013,0,0.001,0.094,0.088,0.017,0,0.268,0.002,0,0.016,0.005,89.5349,503,14.6279,69.8567,10,10,500,0.099
reTOUCH,10,2000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,33771,0.422137,284611,15822,1610,0.020125,1529,823,0.011,0,0.004,0.079,0.077,0.001,0,0.218,0,0,0.001,0.012,96.7742,1651,117.677,295.286,125,125,500,0.091
rereTOUCH,10,2000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,35668,0.44585,312713,18024,1610,0.020125,1529,2278,0.013,0,0.005,0.076,0.076,0.001,0,0.208,0.002,0,0.001,0.007,177.419,131,70.7419,-nan,125,125,500,0.083
TOUCH,10,2500,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,32907,0.32907,8429400,14398,1610,0.0161,118,0,0.011,0,0.003,0.082,0.071,0.006,0,0.206,0.002,0,0.006,0.01,89.4737,3093,102.158,506.959,5,5,500,0.092
