Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe
TOUCH,5,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,33200,0,0,0,396,0,0.003,0,0,0.004,0.002,0.004,0,0.025,0,0,0.003,0.002,75,57,13,22.655,3,3,0,0.006
cTOUCH,5,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,0,0,0,0,452,497,0.002,0,0.001,0.001,0.001,0.004,0,0.018,0,0,0.003,0,82.3529,48,3,11.2616,35,35,0,0.001
dTOUCH,5,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,6200,0,0,0,500,396,0.002,0,0.001,0.003,0.002,0.002,0,0.016,0,0,0.002,0.001,77.7778,47,5.55556,14.6827,3,3,50,0.004
reTOUCH,5,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,1440,0,0,0,452,433,0.001,0,0,0,0,0.001,0,0.012,0,0,0.001,0.002,100,32,14.375,6.08148,33,33,0,0.002
rereTOUCH,5,500,500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,0,0,0,0,452,500,0.001,0,0.001,0.001,0.001,0.001,0,0.01,0,0,0.001,0,187.5,48,6,15.8745,33,33,0,0.001
TOUCH,5,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,761500,0,0,0,153,0,0.004,0,0,0.003,0.001,0.005,0,0.031,0,0,0.004,0.002,88.2353,846,49.8235,199.044,3,3,0,0.005
cTOUCH,5,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,716,0,0,0,952,346,0.007,0,0.002,0,0,0.011,0,0.049,0,0,0.011,0.003,87.0968,622,22.6452,109.822,63,63,0,0.003
dTOUCH,5,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,146375,0,0,0,934,153,0.002,0,0.001,0.003,0.001,0.006,0,0.03,0,0,0.006,0.002,82.1429,151,7.78571,29.5168,6,6,50,0.005
reTOUCH,5,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,160,0,0,0,992,902,0.003,0,0.001,0,0,0,0,0.01,0,0,0,0.001,100,32,6.23529,10.4292,69,69,0,0.001
rereTOUCH,5,1000,1000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,0,0,0,0,0,0,992,1000,0.004,0,0.002,0,0,0,0,0.013,0,0,0,0,194.118,8,0.470588,1.88235,69,69,0,0
