Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,7,0.0007,526900,0,0,0,70,0,0.001,0,0.001,0.001,0.001,0.001,0,0.012,0,0,0.001,0,29.4118,368,54.7059,89.3583,13,13
cTOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,6,0.0006,409863,0,0,0,14,67,0.002,0,0.002,0.002,0.001,0.006,0,0.028,0,0,0.005,0.002,74.1935,888,61.9032,183.726,63,63
dTOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,10,0.001,228839,0,0,0,371,70,0.001,0,0.001,0.002,0,0.003,0,0.016,0,0,0.002,0.001,32,200,44,53.1917,18,18
reTOUCH,5,1000,1000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,3,0.0003,91828,0,0,0,118,72,0.001,0,0.001,0.001,0,0,0,0.009,0,0,0,0.001,35.2941,140,106.471,-nan,35,35
TOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,70,0.00175,2955000,0,0,0,134,0,0.002,0,0.001,0.002,0,0.003,0,0.017,0,0,0.003,0,80.6452,1206,60.1935,233.898,7,7
cTOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,25,0.000625,103051,0,0,0,49,134,0.002,0,0.005,0.004,0.001,0.008,0,0.042,0,0,0.007,0.002,50,1229,61.5645,171.242,125,125
dTOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,53,0.001325,3115151,0,0,0,52,134,0.002,0,0,0.003,0,0.007,0,0.027,0,0,0.006,0.003,74.1379,1613,34.7414,210.726,16,16
reTOUCH,5,2000,2000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,15,0.000375,194609,0,0,0,228,142,0.002,0,0.001,0.002,0.001,0.001,0,0.022,0,0,0.001,0.003,6.45161,137,117.097,-nan,63,63
TOUCH,5,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,133,0.00147778,5229200,0,0,0,191,0,0.004,0,0.001,0.007,0.006,0.007,0,0.038,0,0,0.007,0,61.7021,1292,59.766,200.753,19,19
cTOUCH,5,3000,3000,../data/RandomData-10K.bin,../data/RandomData-Normal-500-250-10K.bin,SGrid,2,4,100,64,0.000711111,1357283,0,0,0,23,190,0.003,0,0.018,0.005,0.003,0.019,0,0.105,0,0,0.017,0.006,67.033,3336,63.5934,357.191,183,183
