Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,84100,33.64,84100,0,4218,1.6872,287,0,0.003,0,0.001,0.19,0.19,0.003,0.19,0.397,0,0,0.003,0,75,157,26.625,52.576,1,1
cTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,27463,10.9852,27651,0,4218,1.6872,305,345,0.001,0,0.001,0.063,0.062,0.004,0.062,0.14,0,0,0.004,0,70.5882,232,20.5882,55.0978,1,1
dTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,35834,14.3336,35834,0,4218,1.6872,305,287,0.002,0,0,0.082,0.081,0.003,0.081,0.174,0,0,0.003,0,63.6364,122,23.7273,39.6074,1,1
reTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,20397,8.1588,21258,0,4218,1.6872,305,331,0.003,0,0,0.05,0.05,0,0.05,0.11,0,0,0,0,87.5,89,45.5,14.9666,1,1
rereTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,30963,12.3852,30963,0,4218,1.6872,305,339,0.003,0,0,0.074,0.074,0.001,0.074,0.162,0,0.001,0,0,150,123,44.5,21.2044,1,1
TOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,821700,82.17,821700,0,4240,0.424,87,0,0.008,0,0.001,1.827,1.827,0.007,1.827,3.691,0,0,0.007,0,94.1176,913,53.7059,214.824,1,1
cTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,36570,3.657,36570,0,4240,0.424,788,275,0.002,0,0.002,0.084,0.084,0.009,0.084,0.196,0,0,0.008,0,80.6452,289,30.2258,75.7405,1,1
dTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,278072,27.8072,278072,0,4240,0.424,785,87,0.008,0,0,0.629,0.629,0.007,0.629,1.294,0,0,0.006,0,82.7586,165,13.1034,41.8967,1,1
reTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,39737,3.9737,39737,0,4240,0.424,786,479,0.002,0,0.002,0.095,0.093,0,0.093,0.2,0,0,0,0,94.1176,315,43.2353,74.9565,1,1
rereTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,NL,2,4,100,44084,4.4084,44084,0,4240,0.424,786,794,0.004,0,0.002,0.102,0.102,0.001,0.102,0.222,0,0,0.001,0,188.235,187,24.7059,38.5941,1,1
