Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,5,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6664,0.026656,19779600,0,62,0.000248,666,0,0.016,0,0.002,0.031,0.025,0.019,0,0.14,0,0,0.017,0,92.1053,3532,57.0263,411,7,7
cTOUCH,5,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,86691,0.346764,36530,0,62,0.000248,4464,2962,0.017,0,0.008,0.203,0.201,0.035,0,0.532,0.001,0,0.032,0.002,84.3137,1561,16.8235,127.784,307,307
dTOUCH,5,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,5398,0.021592,2563476,0,62,0.000248,4163,666,0.018,0,0.002,0.022,0.018,0.029,0,0.16,0,0.001,0.028,0.004,91.6084,452,6,41.8128,13,13
reTOUCH,5,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1774,0.007096,234062,0,62,0.000248,4549,1351,0.019,0,0.006,0.012,0.007,0.004,0,0.09,0,0,0.002,0.003,167.105,2054,53.9474,236.389,229,229
TOUCH,5,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,8340,0.0231667,27823700,0,74,0.000205556,849,0,0.02,0,0.003,0.032,0.025,0.019,0,0.15,0,0,0.018,0,92.3077,4602,56.6044,480.86,8,8
cTOUCH,5,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,320532,0.890367,286565,0,74,0.000205556,4864,1270,0.017,0,0.011,0.717,0.711,0.041,0,1.584,0.001,0,0.038,0.004,87.9121,4106,32.2308,306.268,365,365
dTOUCH,5,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6192,0.0172,2991106,0,74,0.000205556,5062,849,0.022,0,0.005,0.028,0.023,0.045,0,0.22,0,0,0.043,0.005,92.638,384,9.02454,49.6797,13,13
reTOUCH,5,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1885,0.00523611,293292,0,74,0.000205556,5086,2132,0.021,0,0.007,0.011,0.005,0.005,0,0.102,0,0,0.004,0.005,159.341,550,52.5495,100.272,274,274
TOUCH,5,7000,7000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,8742,0.0178408,19802500,0,79,0.000161224,1027,0,0.023,0,0.005,0.039,0.029,0.022,0,0.183,0,0,0.021,0,85.8491,2138,56.3491,266.914,16,16
cTOUCH,5,7000,7000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,232715,0.474929,146960,0,79,0.000161224,5690,1887,0.025,0,0.012,0.528,0.524,0.05,0,1.244,0,0,0.045,0.005,86.3208,2825,30.2972,215.8,425,425
dTOUCH,5,7000,7000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,7020,0.0143265,3406470,0,79,0.000161224,5853,1027,0.024,0,0.004,0.032,0.026,0.032,0,0.202,0,0,0.031,0.005,85.3659,1252,21.25,116.86,25,25
reTOUCH,5,7000,7000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1880,0.00383673,402476,0,58,0.000118367,5743,1887,0.022,0,0.009,0.014,0.012,0.005,0,0.111,0,0,0.004,0.005,153.774,697,60.0943,118.157,319,319
TOUCH,5,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,9857,0.0154016,54950600,0,82,0.000128125,967,0,0.028,0,0.004,0.041,0.031,0.024,0,0.197,0,0,0.023,0,97.5,6795,58.6083,617.844,4,4
cTOUCH,5,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,272572,0.425894,865888,0,82,0.000128125,6915,2145,0.026,0,0.014,0.604,0.595,0.058,0,1.415,0,0,0.053,0.005,86.3071,2219,28.7967,194.935,483,483
dTOUCH,5,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,7118,0.0111219,7226418,0,82,0.000128125,6778,967,0.023,0,0.004,0.027,0.025,0.049,0,0.232,0,0,0.047,0.002,96.9163,986,5.47137,65.8319,8,8
reTOUCH,5,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2213,0.00345781,577793,0,81,0.000126562,6380,2451,0.02,0,0.009,0.017,0.012,0.007,0,0.118,0,0,0.005,0.006,155.833,649,59.7417,117.88,361,361
TOUCH,20,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,294534,1.17814,20859900,0,229,0.000916,523,0,0.012,0,0.002,0.669,0.653,0.017,0,1.402,0,0,0.016,0,94.7368,3826,58.9079,440.98,5,5
cTOUCH,20,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,206485,0.82594,92845,0,229,0.000916,4431,2017,0.013,0,0.009,0.481,0.476,0.035,0,1.084,0,0,0.032,0.003,84.9673,2216,23.2157,180.553,307,307
dTOUCH,20,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,612798,2.45119,3309822,0,229,0.000916,4059,523,0.013,0,0.003,1.411,1.396,0.029,0,2.926,0,0,0.027,0.015,93.0556,619,6.63889,53.6909,11,11
reTOUCH,20,5000,5000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,10172,0.040688,753637,0,229,0.000916,4113,1054,0.012,0,0.005,0.033,0.031,0.005,0,0.126,0,0,0.002,0.007,177.632,1856,63.5921,227.339,229,229
TOUCH,20,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,386170,1.07269,28490100,0,254,0.000705556,665,0,0.015,0,0.003,0.894,0.875,0.018,0,1.862,0,0,0.017,0,92.3077,4708,58.6264,492.087,8,8
cTOUCH,20,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,469005,1.30279,959935,0,254,0.000705556,4734,844,0.016,0,0.011,1.035,1.031,0.043,0,2.222,0,0,0.04,0.005,87.3626,3617,35.2857,275.295,365,365
dTOUCH,20,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,966026,2.68341,3184740,0,254,0.000705556,4639,665,0.015,0,0.003,2.212,2.187,0.033,0,4.54,0,0,0.031,0.025,90.8537,396,12.0244,55.5532,16,16
reTOUCH,20,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,13354,0.0370944,1207766,0,254,0.000705556,4709,1436,0.015,0,0.008,0.042,0.039,0.005,0,0.158,0,0,0.004,0.009,176.923,952,64.3407,169.454,274,274
TOUCH,20,7000,7000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,437117,0.892076,23831700,0,276,0.000563265,801,0,0.017,0,0.004,1.007,0.982,0.021,0,2.1,0,0,0.02,0,90.566,2662,58.4811,300.261,11,11
cTOUCH,20,7000,7000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,452761,0.924002,463875,0,276,0.000563265,5384,1440,0.021,0,0.016,1.027,1.018,0.05,0,2.242,0,0,0.046,0.006,85.3774,3325,33.8491,247.802,425,425
