Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,10934626,4373.85,84100,9601364,4218,1.6872,287,0,0.004,0,0,22.861,22.513,0.002,0,45.737,0.468,0,0.001,0.114,75,157,26.625,52.576,3,3
cTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,27401,10.9604,19050,648,4218,1.6872,305,345,0.001,0,0.001,0.067,0.067,0.007,0,0.158,0.002,0.001,0.006,0,70.5882,232,20.5882,55.0978,35,35
dTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,33068,13.2272,35834,602,4218,1.6872,305,287,0.003,0,0,0.074,0.073,0.003,0,0.169,0.002,0.001,0.003,0,63.6364,122,23.7273,39.6074,5,5
reTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,21127,8.4508,21258,552,4218,1.6872,305,331,0.001,0,0.001,0.048,0.048,0,0,0.103,0,0,0,0,87.5,89,45.5,14.9666,33,33
rereTOUCH,50,500,500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,31272,12.5088,30963,632,4218,1.6872,305,339,0.001,0,0.001,0.074,0.074,0,0,0.156,0.002,0,0,0,150,123,44.5,21.2044,33,33
TOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1420686,142.069,821700,1111576,4240,0.424,87,0,0.003,0,0.001,2.951,2.848,0.002,0,5.915,0.057,0,0.002,0.074,94.1176,913,53.7059,214.824,2,2
cTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,36386,3.6386,32720,7330,4240,0.424,788,275,0.003,0,0.001,0.08,0.08,0.006,0,0.187,0.002,0,0.005,0.001,80.6452,289,30.2258,75.7405,63,63
dTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,101128,10.1128,278072,7747,4240,0.424,785,87,0.005,0,0.001,0.224,0.224,0.003,0,0.472,0,0,0.003,0,82.7586,165,13.1034,41.8967,6,6
reTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,37712,3.7712,39737,7330,4240,0.424,786,479,0.002,0,0.001,0.088,0.088,0.001,0,0.186,0.001,0,0.001,0,94.1176,315,43.2353,74.9565,69,69
rereTOUCH,50,1000,1000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,47975,4.7975,44084,7744,4240,0.424,786,794,0.003,0,0.001,0.11,0.11,0,0,0.232,0.002,0,0,0.001,188.235,187,24.7059,38.5941,69,69
TOUCH,50,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,8274017,367.734,1877900,7407295,26775,1.19,183,0,0.003,0,0,15.859,15.565,0.004,0,31.734,0.435,0,0.004,0.076,82.6087,1182,57.2609,240.88,5,5
cTOUCH,50,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,160897,7.15098,96300,12211,26775,1.19,1033,848,0.004,0,0.002,0.348,0.346,0.012,0,0.744,0.007,0,0.011,0.001,72.3404,440,23.8085,82.0269,95,95
dTOUCH,50,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,215592,9.58187,451786,12803,26775,1.19,1000,183,0.007,0,0.001,0.475,0.468,0.009,0,0.988,0.012,0,0.008,0,84.0909,230,13.4091,43.833,8,8
reTOUCH,50,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,146454,6.50907,177305,26106,26775,1.19,1041,757,0.003,0,0.001,0.312,0.309,0.001,0,0.654,0.013,0,0.001,0.002,100,378,52.2609,71.8783,93,93
rereTOUCH,50,1500,1500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,149017,6.62298,187957,20392,26775,1.19,1041,928,0.004,0,0.003,0.315,0.314,0.001,0,0.662,0.01,0,0.001,0.001,169.565,363,44.8261,86.3663,93,93
TOUCH,50,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,13127983,328.2,3565700,11485622,47286,1.18215,12,0,0.005,0,0.002,24.479,24.011,0.006,0,48.984,0.747,0,0.006,0.093,93.5484,1615,64.129,290.709,3,3
cTOUCH,50,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,441099,11.0275,167864,42637,47286,1.18215,1445,378,0.006,0,0.003,0.935,0.933,0.016,0,1.952,0.024,0,0.015,0.001,80.6452,1408,35.1129,183.031,125,125
dTOUCH,50,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,421194,10.5298,1167577,16791,47286,1.18215,1454,12,0.006,0,0.001,0.921,0.908,0.012,0,1.888,0.021,0,0.011,0.001,91.8033,527,11.1967,67.7526,6,6
reTOUCH,50,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,382509,9.56273,354608,49246,47286,1.18215,1465,168,0.005,0,0.003,0.817,0.817,0.002,0,1.687,0.025,0,0.002,0.002,100,693,76.3548,142.851,125,125
rereTOUCH,50,2000,2000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,387546,9.68865,387659,42199,47286,1.18215,1465,996,0.007,0,0.004,0.843,0.842,0.001,0,1.733,0.019,0,0.001,0.001,180.645,307,49.6452,62.3807,125,125
TOUCH,50,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,15498638,247.978,5623200,13377430,65339,1.04542,12,0,0.01,0,0.001,30.577,30.006,0.007,0,61.192,0.949,0,0.007,0.095,94.7368,2115,65.4737,342.186,3,3
cTOUCH,50,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,502384,8.03814,370604,45484,65339,1.04542,1946,347,0.006,0,0.006,1.07,1.068,0.019,0,2.244,0.035,0.001,0.018,0.001,81.5789,1060,35.6184,164.944,153,153
dTOUCH,50,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,500749,8.01198,1358048,19138,65339,1.04542,1868,12,0.011,0,0.002,1.108,1.092,0.014,0,2.278,0.026,0,0.013,0.001,90.5405,414,10.5946,51.1674,8,8
reTOUCH,50,2500,2500,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,579416,9.27066,929021,61861,65339,1.04542,1708,146,0.011,0,0.003,1.256,1.251,0.001,0,2.579,0.029,0,0.001,0.003,97.3684,1069,82.7895,189.549,153,153
